step,row,col,latitude,longitude,cost
0,330,694,-85.277344,31.199219,0.0737
1,329,695,-85.273438,31.203125,0.0781
2,328,696,-85.269531,31.207031,0.0687
3,327,697,-85.265625,31.210938,0.0504
4,326,698,-85.261719,31.214844,0.0294
5,326,699,-85.261719,31.21875,0.0231
6,326,700,-85.261719,31.222656,0.0156
7,326,701,-85.261719,31.226563,0.0336
8,326,702,-85.261719,31.230469,0.042
9,325,703,-85.257813,31.234375,0.0346
10,325,704,-85.257813,31.238281,0.0293
11,325,705,-85.257813,31.242188,0.025
12,325,706,-85.257813,31.246094,0.0279
13,325,707,-85.257813,31.25,0.0339
14,324,706,-85.253906,31.246094,0.0576
15,323,706,-85.25,31.246094,0.0652
16,322,706,-85.246094,31.246094,0.0576
17,321,706,-85.242188,31.246094,0.0359
18,320,705,-85.238281,31.242188,0.0303
19,320,704,-85.238281,31.238281,0.0312
20,320,703,-85.238281,31.234375,0.0278
21,319,702,-85.234375,31.230469,0.0187
22,319,701,-85.234375,31.226563,0.0245
23,319,700,-85.234375,31.222656,0.025
24,318,699,-85.230469,31.21875,0.0315
25,317,699,-85.226563,31.21875,0.0731
26,316,699,-85.222656,31.21875,0.0667
27,315,699,-85.21875,31.21875,0.0761
28,314,699,-85.214844,31.21875,0.1388
29,313,699,-85.210938,31.21875,0.1665
30,312,699,-85.207031,31.21875,0.1812
31,313,698,-85.210938,31.214844,0.1617
32,314,697,-85.214844,31.210938,0.1422
33,314,696,-85.214844,31.207031,0.1483
34,314,695,-85.214844,31.203125,0.1442
35,314,694,-85.214844,31.199219,0.1401
36,315,694,-85.21875,31.199219,0.1023
37,316,694,-85.222656,31.199219,0.0637
38,317,694,-85.226563,31.199219,0.0525
39,318,695,-85.230469,31.203125,0.0309
40,319,695,-85.234375,31.203125,0.0346
41,320,695,-85.238281,31.203125,0.03
42,321,696,-85.242188,31.207031,0.0248
43,321,697,-85.242188,31.210938,0.0229
44,321,698,-85.242188,31.214844,0.0209
45,322,699,-85.246094,31.21875,0.0408
46,323,700,-85.25,31.222656,0.0634
47,324,701,-85.253906,31.226563,0.0547
48,325,702,-85.257813,31.230469,0.0367
49,326,703,-85.261719,31.234375,0.0436
50,327,704,-85.265625,31.238281,0.0461
51,328,705,-85.269531,31.242188,0.0569
52,329,706,-85.273438,31.246094,0.0816
53,330,707,-85.277344,31.25,0.0891
54,329,707,-85.273438,31.25,0.0852
55,328,708,-85.269531,31.253906,0.0792
56,327,709,-85.265625,31.257813,0.0398
57,326,710,-85.261719,31.261719,0.0535
58,325,711,-85.257813,31.265625,0.0345
59,324,712,-85.253906,31.269531,0.0872
