quadrant,stop_id,row,col,latitude,longitude,science_score,slope,roughness
NE,NE_01,128,356,-85.25,26.878906,0.6652,0.1633,0.1833
NE,NE_02,119,362,-85.214844,26.902344,0.6503,0.2932,0.2521
NE,NE_03,141,359,-85.300781,26.890625,0.6499,0.1291,0.1104
NE,NE_04,124,367,-85.234375,26.921875,0.6488,0.1327,0.1104
NE,NE_05,134,365,-85.273438,26.914063,0.6486,0.209,0.175
NE,NE_06,135,336,-85.277344,26.800781,0.6479,0.2621,0.2188
NE,NE_07,135,370,-85.277344,26.933594,0.6476,0.2269,0.1875
NE,NE_08,134,358,-85.273438,26.886719,0.6475,0.2149,0.1771
NE,NE_09,140,343,-85.296875,26.828125,0.647,0.1581,0.1271
NE,NE_10,122,372,-85.226563,26.941406,0.6467,0.3003,0.2479
NW,NW_01,129,332,-85.253906,26.785156,0.6498,0.1442,0.1229
NW,NW_02,135,329,-85.277344,26.773438,0.6487,0.2183,0.1833
NW,NW_03,137,334,-85.285156,26.792969,0.6462,0.2413,0.1958
NW,NW_04,140,328,-85.296875,26.769531,0.6454,0.1562,0.1208
NW,NW_05,132,318,-85.265625,26.730469,0.6443,0.2136,0.1667
NW,NW_06,137,319,-85.285156,26.734375,0.6405,0.2506,0.1875
NW,NW_07,92,133,-85.109375,26.007813,0.3581,0.0714,0.2271
NW,NW_08,153,125,-85.347656,25.976563,0.3527,0.0625,0.2042
NW,NW_09,183,294,-85.464844,26.636719,0.3457,0.319,0.4042
NW,NW_10,195,142,-85.511719,26.042969,0.3394,0.012,0.1229
SE,SE_01,249,532,-85.722656,27.566406,0.7493,0.0142,0.2958
SE,SE_02,258,369,-85.757813,26.929688,0.6882,0.6455,0.6625
SE,SE_03,239,659,-85.683594,28.0625,0.6856,0.4357,0.475
SE,SE_04,259,362,-85.761719,26.902344,0.6647,0.4931,0.4646
SE,SE_05,265,460,-85.785156,27.285156,0.6606,0.5405,0.4938
SE,SE_06,260,489,-85.765625,27.398438,0.6597,0.5412,0.4917
SE,SE_07,267,502,-85.792969,27.449219,0.6584,0.5748,0.5167
SE,SE_08,266,531,-85.789063,27.5625,0.6575,0.5827,0.5208
SE,SE_09,246,686,-85.710938,28.167969,0.6535,0.664,0.5792
SE,SE_10,268,442,-85.796875,27.214844,0.6495,0.5754,0.4917
SW,SW_01,222,139,-85.617188,26.03125,0.8555,0.0466,0.6271
SW,SW_02,307,87,-85.949219,25.828125,0.6875,0.6066,0.6271
SW,SW_03,305,8,-85.941406,25.519531,0.3552,0.3387,0.4479
SW,SW_04,299,318,-85.917969,26.730469,0.3378,0.1485,0.2354
SW,SW_05,258,146,-85.757813,26.058594,0.3306,0.428,0.4542
SW,SW_06,287,136,-85.871094,26.019531,0.3279,0.3541,0.3833
SW,SW_07,231,203,-85.652344,26.28125,0.3189,0.4621,0.45
SW,SW_08,281,13,-85.847656,25.539063,0.3164,0.4071,0.3958
SW,SW_09,218,124,-85.601563,25.972656,0.3163,0.354,0.35
SW,SW_10,235,46,-85.667969,25.667969,0.316,0.01,0.0542
