step,row,col,latitude,longitude,cost
0,333,353,-85.289063,26.867188,0.5998
1,334,354,-85.292969,26.871094,0.5912
2,335,355,-85.296875,26.875,0.5671
3,336,356,-85.300781,26.878906,0.5386
4,336,357,-85.300781,26.882813,0.5252
5,336,358,-85.300781,26.886719,0.5159
6,336,359,-85.300781,26.890625,0.5274
7,336,360,-85.300781,26.894531,0.5393
8,336,361,-85.300781,26.898438,0.5482
9,336,362,-85.300781,26.902344,0.5508
10,336,363,-85.300781,26.90625,0.5529
11,336,364,-85.300781,26.910156,0.5487
12,335,365,-85.296875,26.914063,0.5919
13,334,364,-85.292969,26.910156,0.5987
14,333,363,-85.289063,26.90625,0.586
15,333,362,-85.289063,26.902344,0.5932
16,333,361,-85.289063,26.898438,0.5953
17,333,360,-85.289063,26.894531,0.5951
18,333,359,-85.289063,26.890625,0.5948
19,333,358,-85.289063,26.886719,0.5969
20,333,359,-85.289063,26.890625,0.5948
21,333,360,-85.289063,26.894531,0.5951
22,333,361,-85.289063,26.898438,0.5953
23,333,362,-85.289063,26.902344,0.5932
24,333,363,-85.289063,26.90625,0.586
25,334,364,-85.292969,26.910156,0.5987
26,335,365,-85.296875,26.914063,0.5919
27,336,364,-85.300781,26.910156,0.5487
28,337,363,-85.304688,26.90625,0.5522
29,338,362,-85.308594,26.902344,0.5258
30,338,361,-85.308594,26.898438,0.5255
31,338,360,-85.308594,26.894531,0.526
32,339,359,-85.3125,26.890625,0.5188
33,340,359,-85.316406,26.890625,0.5814
34,341,359,-85.320313,26.890625,0.5534
35,342,359,-85.324219,26.890625,0.5195
36,343,359,-85.328125,26.890625,0.5472
37,343,358,-85.328125,26.886719,0.5429
38,343,357,-85.328125,26.882813,0.5325
39,343,356,-85.328125,26.878906,0.5245
40,343,355,-85.328125,26.875,0.5224
41,343,354,-85.328125,26.871094,0.5239
42,343,353,-85.328125,26.867188,0.5252
43,343,352,-85.328125,26.863281,0.5247
44,343,351,-85.328125,26.859375,0.5177
45,343,350,-85.328125,26.855469,0.5115
46,343,349,-85.328125,26.851563,0.518
47,342,350,-85.324219,26.855469,0.5353
48,341,351,-85.320313,26.859375,0.5403
49,340,352,-85.316406,26.863281,0.5285
50,339,353,-85.3125,26.867188,0.5248
51,338,354,-85.308594,26.871094,0.5166
52,338,355,-85.308594,26.875,0.5117
53,338,354,-85.308594,26.871094,0.5166
54,338,353,-85.308594,26.867188,0.5186
55,338,352,-85.308594,26.863281,0.5191
56,338,351,-85.308594,26.859375,0.5206
57,338,350,-85.308594,26.855469,0.5208
58,338,351,-85.308594,26.859375,0.5206
59,338,352,-85.308594,26.863281,0.5191
60,338,353,-85.308594,26.867188,0.5186
61,338,354,-85.308594,26.871094,0.5166
62,338,355,-85.308594,26.875,0.5117
63,338,356,-85.308594,26.878906,0.5068
64,338,357,-85.308594,26.882813,0.5107
65,338,358,-85.308594,26.886719,0.5179
66,338,359,-85.308594,26.890625,0.5233
67,338,360,-85.308594,26.894531,0.526
68,338,361,-85.308594,26.898438,0.5255
69,338,362,-85.308594,26.902344,0.5258
70,337,363,-85.304688,26.90625,0.5522
71,336,364,-85.300781,26.910156,0.5487
72,335,365,-85.296875,26.914063,0.5919
73,334,364,-85.292969,26.910156,0.5987
74,333,364,-85.289063,26.910156,0.5872
75,332,365,-85.285156,26.914063,0.5895
76,333,364,-85.289063,26.910156,0.5872
77,334,364,-85.292969,26.910156,0.5987
78,335,365,-85.296875,26.914063,0.5919
79,336,365,-85.300781,26.914063,0.5465
80,337,365,-85.304688,26.914063,0.5612
